股票代码	雅虎代码	公司名称	交易所
002068	002068.SZ	黑猫股份	SZ
300097	300097.SZ	ST智云	SZ
603080	603080.SS	新疆火炬	SH
300022	300022.SZ	吉峰科技	SZ
603359	603359.SS	东珠生态	SH
688566	688566.SS	吉贝尔	SH
601838	601838.SS	成都银行	SH
000815	000815.SZ	美利云	SZ
603206	603206.SS	嘉环科技	SH
600865	600865.SS	百大集团	SH
603109	603109.SS	神驰机电	SH
688737	688737.SS	中自科技	SH
000729	000729.SZ	燕京啤酒	SZ
600501	600501.SS	航天晨光	SH
603344	603344.SS	星德胜	SH
000541	000541.SZ	佛山照明	SZ
300708	300708.SZ	聚灿光电	SZ
688167	688167.SS	炬光科技	SH
003012	003012.SZ	东鹏控股	SZ
600719	600719.SS	大连热电	SH
600185	600185.SS	格力地产	SH
600444	600444.SS	国机通用	SH
000975	000975.SZ	山金国际	SZ
603779	603779.SS	威龙股份	SH
000543	000543.SZ	皖能电力	SZ
000799	000799.SZ	酒鬼酒	SZ
601766	601766.SS	中国中车	SH
688271	688271.SS	联影医疗	SH
603516	603516.SS	淳中科技	SH
300251	300251.SZ	光线传媒	SZ
600025	600025.SS	华能水电	SH
688314	688314.SS	康拓医疗	SH
688221	688221.SS	前沿生物-U	SH
605177	605177.SS	东亚药业	SH
000682	000682.SZ	东方电子	SZ
600563	600563.SS	法拉电子	SH
600176	600176.SS	中国巨石	SH
600830	600830.SS	香溢融通	SH
001323	001323.SZ	慕思股份	SZ
000792	000792.SZ	盐湖股份	SZ
688311	688311.SS	盟升电子	SH
600265	600265.SS	景谷林业	SH
301286	301286.SZ	侨源股份	SZ
688301	688301.SS	奕瑞科技	SH
300857	300857.SZ	协创数据	SZ
600938	600938.SS	中国海油	SH
603325	603325.SS	博隆技术	SH
688758	688758.SS	赛分科技	SH
688583	688583.SS	思看科技	SH
688571	688571.SS	杭华股份	SH
688555	688555.SS	退市泽达	SH
688287	688287.SS	ST观典	SH
688139	688139.SS	海尔生物	SH
688086	688086.SS	退市紫晶	SH
688009	688009.SS	中国通号	SH
605158	605158.SS	华达新材	SH
603996	603996.SS	退市中新	SH
603869	603869.SS	ST智知	SH
603603	603603.SS	退市博天	SH
603600	603600.SS	永艺股份	SH
603555	603555.SS	ST贵人	SH
603157	603157.SS	退市拉夏	SH
603133	603133.SS	退市碳元	SH
603072	603072.SS	天和磁材	SH
603003	603003.SS	*ST龙宇	SH
603001	603001.SS	奥康国际	SH
601929	601929.SS	吉视传媒	SH
601558	601558.SS	退市锐电	SH
601299	601299.SS	中国北车	SH
601268	601268.SS	*ST二重	SH
601258	601258.SS	*ST庞大	SH
601010	601010.SS	文峰股份	SH
600991	600991.SS	广汽长丰	SH
600978	600978.SS	*ST宜生	SH
600899	600899.SS	*ST信联	SH
600896	600896.SS	退市海医	SH
600891	600891.SS	退市秋林	SH
600890	600890.SS	退市中房	SH
600878	600878.SS	*ST北科	SH
600870	600870.SS	退市厦华	SH
600856	600856.SS	退市中天	SH
600852	600852.SS	*ST中川	SH
600849	600849.SS	上药转换	SH
600842	600842.SS	中西药业	SH
600840	600840.SS	新湖创业	SH
600836	600836.SS	*ST易连	SH
600835	600835.SS	上海机电	SH
600832	600832.SS	东方明珠	SH
600831	600831.SS	ST广网	SH
600823	600823.SS	*ST世茂	SH
600813	600813.SS	ST鞍一工	SH
600806	600806.SS	退市昆机	SH
600799	600799.SS	*ST龙科	SH
600788	600788.SS	*ST达曼	SH
600786	600786.SS	东方锅炉	SH
600781	600781.SS	退市辅仁	SH
600772	600772.SS	S*ST龙昌	SH
600767	600767.SS	退市运盛	SH
600766	600766.SS	退市园城	SH
600762	600762.SS	S*ST金荔	SH
600752	600752.SS	*ST哈慈	SH
600747	600747.SS	退市大控	SH
600723	600723.SS	首商股份	SH
600709	600709.SS	ST生态	SH
600701	600701.SS	退市工新	SH
600700	600700.SS	*ST数码	SH
600695	600695.SS	退市绿庭	SH
600691	600691.SS	阳煤化工	SH
600687	600687.SS	退市刚泰	SH
600681	600681.SS	百川能源	SH
600680	600680.SS	*ST上普	SH
600677	600677.SS	*ST航通	SH
600672	600672.SS	*ST华圣	SH
600670	600670.SS	*ST斯达	SH
600669	600669.SS	*ST鞍成	SH
600659	600659.SS	*ST花雕	SH
600656	600656.SS	退市博元	SH
600652	600652.SS	退市游久	SH
600647	600647.SS	退市同达	SH
600646	600646.SS	ST国嘉	SH
600634	600634.SS	退市富控	SH
600632	600632.SS	华联商厦	SH
600631	600631.SS	百联股份	SH
600627	600627.SS	上电股份	SH
600625	600625.SS	PT水仙	SH
600614	600614.SS	退市鹏起	SH
600607	600607.SS	上实医药	SH
600591	600591.SS	*ST上航	SH
600568	600568.SS	ST中珠	SH
600565	600565.SS	ST迪马	SH
600555	600555.SS	退市海创	SH
600553	600553.SS	太行水泥	SH
600532	600532.SS	退市未来	SH
600505	600505.SS	西昌电力	SH
600485	600485.SS	*ST信威	SH
600483	600483.SS	福能股份	SH
600472	600472.SS	包头铝业	SH
600466	600466.SS	*ST蓝光	SH
600432	600432.SS	退市吉恩	SH
